filename,genre
6 SENSE - Hydraulics (Original Mix),TRUE
AAT - Like This (Extended Mix),TRUE
"Above & Beyond, Zoe Johnston - Quicksand (Don't Go) (Extended Mix)",TRUE
"Adam Port, Keinemusik, Masšh, Ninae - All I Got (Original Mix)",TRUE
Adam Ten - Just Kidding (Extended),TRUE
"Afrojack, Hardwell, MERYLL - Push It (Extended Mix)",TRUE
"Airwolf Paradise, Loods - Ready For Love (Extended)",TRUE
Alaia & Gallo - Lipstick (Extended Mix),TRUE
Alan Nieves - Nothing Else Matters (Original Mix),TRUE
Alex Kentucky - Go (Original Mix),TRUE
"Aluna, SIDEPIECE - Misbehave (Extended Mix)",TRUE
"ANOTR, 54 Ultra - Talk To You (Extended Mix)",TRUE
Antonym - Bass Go (Original Mix),TRUE
Antss - Can't Right Now (Original Mix),TRUE
ARTBAT - Dance (Original Mix),TRUE
"Austin Millz, Kah-lo - Hot & Mysterious (Extended Mix)",TRUE
AYYBO - Demon Time (Extended Mix),TRUE
Babes on the Run - Power (Original Mix),TRUE
"Bad Boombox, mischluft - Pressure (Original Mix)",TRUE
Biscits - Do You Feel It (Extended Mix),TRUE
Bob Musella - Baby Hot Stuff (Original Mix),TRUE
Bonafique - Desperadio (Original Mix),TRUE
Bonafique - Monologue (Extended Mix),TRUE
Bonafique - Three Spirit (Original Mix),TRUE
Borai & Denham Audio - Make Me (Franky Rizardo Extended Remix),TRUE
"Boys Noize, Skrillex, Dylan Brady - ZEET NOISE (Original Mix)",TRUE
Brunello - Ghost Dance (Original Mix),TRUE
Brunello - Illusions (Original Mix),TRUE
Brunello - Iluzja (Original Mix),TRUE
Brunello - Jester's Privilege (Original Mix),TRUE
Brunello - Melted (Original Mix),TRUE
Brunello - Science Fiction (Original Mix),TRUE
bullet tooth - A Place You Wanna Go (Good Life),TRUE
Carlos Francisco - Free State (Extended Mix),TRUE
Chris Stussy - Desire (Extended),TRUE
Crewcutz - Peekaboo (Original Mix),TRUE
"D. Tiffany, Roza Terenzi - Gravity Bongo (Original)",TRUE
D.O.D - Set Me Free (Extended Mix),TRUE
